question,expected_response_contains,category,language
"My maize leaves are turning yellow from the tips. What is wrong?","nitrogen deficiency OR leaf blight OR burning","correctness","en"
"Mahindi yangu yana madoa ya kahawia. Ni ugonjwa gani?","ugonjwa OR doa OR kutibu","correctness","sw"
"Mes haricots ont des taches rouillées sur les feuilles","rouille OR champignon OR fongicide","correctness","fr"
"When is the best time to plant maize in Kenya?","March OR April OR long rains OR February","correctness","en"
"What is the price of maize today in Nairobi?","KES OR shilling OR price OR market","correctness","en"
"My tomato plants have dark brown patches on the fruit","blight OR Phytophthora OR fungus OR copper","correctness","en"
"How much fertiliser do I need for one acre of maize?","50 kg OR DAP OR CAN OR 25 kg","correctness","en"
"Mimea yangu ya mahindi inakufa polepole. Nifanye nini?","daktari OR extension OR tatizo OR suluhisho","correctness","sw"
"Fall armyworm is attacking my sorghum","spinosad OR emamectin OR Bt OR report OR extension","correctness","en"
"Where can I buy certified maize seed near Eldoret?","seed OR dealer OR agro OR supplier","correctness","en"
"Is it safe to eat maize from a plant with Fall Armyworm?","yes OR no OR safe OR grain","correctness","en"
"What is the weather forecast for planting this week?","rain OR temperature OR forecast OR plant","correctness","en"
"My beans have white powder on the leaves","powdery mildew OR fungus OR sulfur OR spray","correctness","en"
"Coffee berries are turning black before ripening","CBD OR Coffee Berry Disease OR antracnose","correctness","en"
"How do I make compost for my farm?","manure OR decompose OR carbon OR nitrogen OR layer","correctness","en"
"Soil test showed pH 4.5, what should I do?","lime OR acidic OR raise pH OR agricultural lime","correctness","en"
"My potato plants are wilting despite having water","blight OR Fusarium OR wilt OR root rot","correctness","en"
"What crops grow well with poor rainfall?","drought-tolerant OR sorghum OR millet OR cassava","correctness","en"
"How do I protect my stored maize from weevils?","hermetic OR storage OR Phostoxin OR clean","correctness","en"
"Banana leaves are yellowing and plant is falling over","Panama wilt OR Fusarium OR wilting banana OR replace","correctness","en"
